Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count,meanGSR,standard deviationGSR,minGSR,maxGSR,medianGSR,modeGSR,skewGSR,KurtosisGSR,80_percentileGSR,60_percentileGSR,40_percentileGSR,20_percentileGSR,RMSGSR,IQRGSR,count>meanGSR,count<meanGSR,rangeGSR,COV_MGSR,meanHR,standard deviationHR,minHR,maxHR,medianHR,modeHR,skewHR,KurtosisHR,80_percentileHR,60_percentileHR,40_percentileHR,20_percentileHR,RMSHR,IQRHR,count>meanHR,count<meanHR,rangeHR,COV_MHR,Participant,Activity
1.50180023906e+12,1.50180029906e+12,644.7802198,37.66386971,561,725,645.0,633,-0.121272585,-0.3227044,677.0,653.0,633.0,617.0,645.8793222,50.5,0.527472527,0.472527473,164,1434.328938,0.043956044,0.472527473,26.63664977,4,43,14.85294168,25,64.84615385,65.76923077,63.21978022,1.025725708,0.977916667,2.449630833,0.106849537,2.2529,2.633,2.4757,2.3501,-0.23411044,-1.322027436,2.54532,2.51,2.42292,2.33246,2.451960041,0.1896,0.591666667,0.408333333,0.3801,0.011512763,93.73333333,2.189875694,89.0,99.0,94.0,92.0,0.027494744,-0.48999391,96.0,94.0,93.0,92.0,93.75891069,3.0,0.533333333,0.466666667,10.0,4.876836158,2,Arithmetic
1.50180020906e+12,1.50180026906e+12,630.2608696,41.04659854,549,725,625.0,617,0.290030174,-0.502273614,664.2,635.4,617.0,597.0,631.5960631,56.0,0.456521739,0.543478261,176,1703.337793,0.010869565,0.391304348,22.48233875,1,36,12.54694395,17,61.35869565,58.95652174,58.52173913,1.048476969,0.9664,2.570394167,0.051625214,2.4587,2.6915,2.5649,2.51,0.176796283,-0.417793824,2.61564,2.58114,2.55388,2.52562,2.570912549,0.07535,0.475,0.525,0.2328,0.002687559,95.56666667,3.343484543,89.0,103.0,95.0,95.0,0.098473594,-0.694471862,98.2,96.0,95.0,92.0,95.62513617,5.0,0.483333333,0.516666667,14.0,11.36836158,2,Arithmetic
1.50180017906e+12,1.50180023906e+12,625.5851064,37.31590545,549,721,622.5,657,0.285374262,-0.214178865,657.0,633.0,617.0,593.0,626.6970577,56.0,0.436170213,0.563829787,172,1407.449668,0.031914894,0.382978723,23.22077305,3,36,14.2372332,14,60.9893617,69.93617021,62.60638298,0.974171623,0.980083333,2.667724167,0.154713963,2.5283,3.2036,2.61065,2.5622,1.987460905,3.336715056,2.72504,2.62646,2.59578,2.56492,2.672206699,0.106,0.283333333,0.716666667,0.6753,0.024137557,96.3,2.728247301,91.0,103.0,96.0,95.0,0.412364959,-0.55506891,99.0,96.0,95.0,94.0,96.33863884,4.25,0.383333333,0.616666667,12.0,7.569491525,2,Arithmetic
1.50180014906e+12,1.50180020906e+12,643.4555556,31.54896058,561,721,649.0,657,-0.232402462,0.357210717,665.0,657.0,639.4,617.0,644.2285223,39.25,0.555555556,0.444444444,160,1006.520474,0.033333333,0.277777778,21.55278932,3,25,14.38979207,17,66.05555556,65.74444444,63.96666667,1.032655897,0.965183333,2.707464167,0.141787438,2.5507,3.2036,2.67395,2.5819,1.85058194,3.351134213,2.74954,2.7043,2.64798,2.60978,2.711174264,0.114,0.358333333,0.641666667,0.6529,0.020272616,93.93333333,2.174600857,91.0,99.0,94.0,94.0,0.581459513,-0.155862224,96.0,94.0,93.0,92.0,93.95850148,3.25,0.55,0.45,8.0,4.809039548,2,Arithmetic
1.50180011906e+12,1.50180017906e+12,642.7391304,30.50832729,584,733,641.0,609,0.280492487,-0.188317755,668.2,649.0,633.0,617.0,643.4627789,40.25,0.489130435,0.510869565,149,940.9861443,0.010869565,0.163043478,18.40210213,1,15,12.79000032,13,65.18478261,58.69565217,61.82608696,1.054324895,0.985533333,2.660186667,0.080808925,2.4832,2.8574,2.6559,2.626,0.053909611,-0.131955855,2.7203,2.67546,2.64306,2.60566,2.661413757,0.0904,0.475,0.525,0.3742,0.006584957,92.71666667,2.938773365,87.0,97.0,93.0,96.0,-0.27263795,-0.974075221,96.0,94.0,92.0,90.0,92.76322907,5.0,0.566666667,0.433333333,10.0,8.782768362,2,Arithmetic
1.50180008906e+12,1.50180014906e+12,662.6853933,35.69867511,584,733,669.0,665,-0.478246627,-0.775555982,697.0,681.0,661.8,625.0,663.6462355,60.0,0.595505618,0.404494382,149,1288.877171,0.02247191,0.191011236,19.75186988,2,17,13.86443738,9,70.52808989,68.41573034,68.64044944,1.027500409,0.982983333,2.634741667,0.07818152,2.4832,2.8574,2.63,2.6015,0.734922508,0.660845568,2.67886,2.64492,2.617,2.57108,2.635901364,0.083325,0.466666667,0.533333333,0.3742,0.006163714,90.16666667,3.526880901,86.0,97.0,88.0,88.0,0.933260655,-0.782546043,95.0,89.0,88.0,87.8,90.23561751,5.25,0.283333333,0.716666667,11.0,12.64971751,2,Arithmetic
1.50180005906e+12,1.50180011906e+12,675.0227273,38.65611126,552,765,681.0,669,-1.126527436,2.153120788,701.0,685.0,672.2,661.0,676.1286692,32.25,0.556818182,0.443181818,213,1511.470742,0.056818182,0.272727273,22.19350635,5,24,14.68127043,21,70.55681818,69.96590909,63.04545455,1.119142033,0.990033333,2.690549167,0.0844427,2.4941,2.9136,2.6811,2.6088,0.115791417,-0.683352759,2.77148,2.7263,2.65886,2.6173,2.691873955,0.12755,0.475,0.525,0.4195,0.00719049,89.31666667,2.673896449,86.0,97.0,88.0,88.0,1.495619257,1.626909562,91.0,89.0,88.0,87.0,89.35668227,3.0,0.333333333,0.666666667,11.0,7.270903955,2,Arithmetic
1.50180002906e+12,1.50180008906e+12,636.9569892,56.92929287,541,765,649.0,681,-0.064476303,-0.991577019,683.4,661.0,624.8,574.6,639.4960129,96.0,0.548387097,0.451612903,224,3276.172043,0.043010753,0.268817204,21.35822823,4,25,13.89856584,7,53.06451613,57.46236559,71.10752688,0.746257372,0.987283333,2.8182325,0.125408237,2.4206,3.0919,2.805,2.7405,-0.260333783,0.336266649,2.94292,2.82894,2.77902,2.73644,2.821021384,0.168225,0.45,0.55,0.6713,0.015859387,94.55,5.89470101,87.0,107.0,92.0,91.0,0.686681209,-0.652072527,100.4,94.4,91.6,90.0,94.73357377,7.0,0.4,0.6,20.0,35.33644068,2,Arithmetic
1.50179999906e+12,1.50180005906e+12,623.0,44.63442146,541,705,625.0,681,-0.145825799,-1.053769016,669.0,634.6,615.4,584.2,624.5968552,75.5,0.515789474,0.484210526,164,2013.425532,0.042105263,0.231578947,21.07635561,4,22,13.89087979,11,66.2,57.88421053,66.87368421,0.989926019,0.986416667,2.863160833,0.103242613,2.4206,3.0919,2.8673,2.891,-0.976473085,2.967021101,2.94292,2.891,2.83446,2.80162,2.865021639,0.112525,0.516666667,0.483333333,0.6713,0.010748609,96.88333333,4.40488996,91.0,107.0,96.0,95.0,0.82458608,-0.228206885,100.4,97.0,95.0,93.0,96.98341783,5.25,0.416666667,0.583333333,16.0,19.7319209,2,NA
1.50179996906e+12,1.50180002906e+12,629.5851064,40.69304127,481,729,633.0,625,-0.5456782,1.243017836,661.0,644.2,625.0,603.4,630.8988269,45.25,0.510638298,0.489361702,248,1673.729238,0.031914894,0.212765957,20.43537119,3,20,13.22091744,19,53.94680851,67.11702128,61.65957447,0.874913734,0.98635,2.860314167,0.124067534,2.4758,3.1497,2.85655,2.8055,-0.001802653,0.842227588,2.92588,2.88276,2.82346,2.7942,2.863003647,0.11195,0.483333333,0.516666667,0.6739,0.015522104,94.63333333,2.301931556,89.0,99.0,95.0,95.0,-0.556547872,0.126416408,96.2,95.0,94.0,93.0,94.66132614,2.25,0.583333333,0.416666667,10.0,5.388700565,2,NA
