Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.51130404663e+12,1.51130410663e+12,77.83636364,6.134147748,70,90,76.0,71,0.455083742,-1.1361661,84.0,79.0,74.0,72.0,78.07770023,10.5,0.472727273,0.527272727,20,38.32457912,21,NA
1.51130401663e+12,1.51130407663e+12,75.92982456,8.431061304,65,92,74.0,68,0.496453963,-1.114074646,87.0,77.2,72.0,68.0,76.39647278,14.0,0.421052632,0.578947368,27,72.35213033,21,NA
1.51130398663e+12,1.51130404663e+12,68.77586207,7.531641538,64,92,65.0,65,2.079841506,3.046500068,69.2,67.0,65.0,65.0,69.18702789,3.0,0.206896552,0.793103448,28,57.72081065,21,rest1
1.51130395663e+12,1.51130401663e+12,65.57627119,1.699485364,63,70,65.0,65,1.091516789,0.030000777,67.0,65.0,65.0,64.0,65.59828956,1.5,0.288135593,0.711864407,7,2.938047925,21,rest1
1.51130392663e+12,1.51130398663e+12,65.30508475,2.241777724,60,70,65.0,65,-0.085836461,-0.05156726,67.0,65.0,65.0,64.0,65.34355103,3.0,0.389830508,0.610169492,10,5.112215079,21,rest1
1.51130389663e+12,1.51130395663e+12,64.55932203,2.506068475,60,73,64.0,64,0.414513043,0.85816958,66.4,65.0,64.0,63.0,64.6079441,3.0,0.491525424,0.508474576,13,6.388661601,21,rest1
1.51130386663e+12,1.51130392663e+12,69.44827586,5.574487494,60,81,68.5,68,0.186613365,-0.978981459,75.0,71.2,68.0,64.0,69.67164367,9.75,0.448275862,0.551724138,21,31.62008469,21,rest1
1.51130383663e+12,1.51130389663e+12,73.72727273,2.863275591,68,81,74.0,74,0.200639717,0.163909664,76.0,74.0,73.0,71.0,73.78285093,3.0,0.581818182,0.418181818,13,8.35016835,21,rest1
1.51130380663e+12,1.51130386663e+12,70.0,3.48430063,65,76,69.0,67,0.378244938,-1.3835494,74.0,71.0,68.0,67.0,70.08666315,7.0,0.421052632,0.543859649,11,12.35714286,21,NA
1.51130377663e+12,1.51130383663e+12,70.86666667,7.774888352,65,95,67.5,67,2.117199613,3.28819989,72.4,68.0,67.0,67.0,71.29188827,3.25,0.25,0.75,30,61.47344633,21,NA
1.51130374663e+12,1.51130380663e+12,81.40677966,10.82075633,66,98,81.0,67,0.055645573,-1.372680206,93.4,83.0,79.0,68.6,82.12278942,22.0,0.491525424,0.508474576,32,119.1075395,21,NA
1.51130371663e+12,1.51130377663e+12,80.76271186,9.319814836,69,98,80.0,70,0.535140334,-0.960335776,91.4,81.0,79.0,71.6,81.29867512,13.5,0.440677966,0.559322034,29,88.35651666,21,NA
1.51130368663e+12,1.51130374663e+12,74.78333333,3.440405338,69,80,74.0,72,0.046342482,-1.337026551,79.0,76.0,73.0,71.8,74.86242938,6.0,0.483333333,0.516666667,11,12.03700565,21,Game 4
1.51130365663e+12,1.51130371663e+12,74.18333333,3.101030295,69,80,74.0,70,0.043196734,-1.105811959,77.0,75.0,73.6,70.0,74.24812007,6.0,0.483333333,0.516666667,11,9.779378531,21,Game 4
1.51130362663e+12,1.51130368663e+12,75.61016949,5.317119614,69,87,75.0,70,0.775864408,-0.490984548,80.0,75.8,74.0,70.0,75.79689632,7.5,0.406779661,0.593220339,18,28.75920514,21,Game 4
1.51130359663e+12,1.51130365663e+12,76.22413793,5.601856538,67,87,76.0,73,0.171883051,-0.650402641,80.0,78.0,75.0,72.0,76.42970627,6.0,0.448275862,0.551724138,20,31.93133696,21,Game 4
1.51130356663e+12,1.51130362663e+12,73.56140351,5.012327064,67,83,73.0,67,0.094188081,-1.247852144,78.8,74.6,72.4,67.0,73.73197074,10.0,0.456140351,0.543859649,16,25.57205514,21,Game 4
1.51130353663e+12,1.51130359663e+12,74.63157895,5.220175365,67,84,74.0,67,-0.011023886,-1.281484186,80.0,77.0,73.0,69.0,74.81392121,9.0,0.473684211,0.526315789,17,27.73684211,21,Game 4
1.51130350663e+12,1.51130356663e+12,69.62711864,6.573955559,63,84,67.0,63,0.621120314,-1.065430163,77.4,70.8,65.0,63.6,69.93677532,11.0,0.423728814,0.576271186,21,43.96201052,21,Game 4
1.51130347663e+12,1.51130353663e+12,66.7,3.06757233,63,73,66.0,63,0.325505681,-1.305037601,70.0,67.0,65.0,63.8,66.77050247,6.0,0.45,0.55,10,9.569491525,21,Game 4
1.51130344663e+12,1.51130350663e+12,67.84745763,2.413335545,64,73,67.0,67,0.099437779,-1.033672061,70.0,68.8,67.0,66.0,67.89036526,4.0,0.491525424,0.508474576,9,5.924605494,21,NA
1.51130341663e+12,1.51130347663e+12,68.01724138,2.674859837,64,74,68.0,70,0.35452949,-0.586137479,70.0,69.0,67.0,65.4,68.0698171,4.0,0.431034483,0.568965517,10,7.280399274,21,NA
1.51130338663e+12,1.51130344663e+12,71.03508772,2.23971264,65,75,71.0,73,-0.662242213,-0.049870275,73.0,72.0,70.4,69.2,71.07038764,3.0,0.49122807,0.50877193,10,5.105889724,21,NA
