Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,Participant,Activity
1.51018078228e+12,1.51018084228e+12,1.837514167,0.043463029,1.6481,1.918,1.8425,1.8225,-0.859972401,2.11338696,1.86874,1.85752,1.82376,1.80628,1.838028114,0.055675,0.516666667,0.483333333,0.2699,0.001904909,17,NA
1.51018075228e+12,1.51018081228e+12,1.930185,0.078209407,1.8094,2.0664,1.91665,1.8654,0.189641657,-1.331819643,2.01592,1.94862,1.89088,1.85686,1.931768839,0.138325,0.466666667,0.533333333,0.257,0.006168112,17,NA
1.51018072228e+12,1.51018078228e+12,2.051659167,0.062585786,1.9147,2.1798,2.0677,2.071,-0.458082285,-0.73055048,2.1071,2.0894,2.04448,1.99154,2.052613533,0.100825,0.558333333,0.441666667,0.2651,0.003949896,17,NA
1.51018069228e+12,1.51018075228e+12,2.1475725,0.050063852,2.069,2.2393,2.14765,2.071,0.23935734,-1.331155846,2.20004,2.17276,2.11448,2.0976,2.148155961,0.085225,0.5,0.5,0.1703,0.002527451,17,NA
1.51018066228e+12,1.51018072228e+12,2.211143333,0.033909278,2.1289,2.266,2.21315,2.2438,-0.275056987,-0.899976189,2.24348,2.2248,2.20084,2.1786,2.211403328,0.056025,0.516666667,0.483333333,0.1371,0.001159502,17,NA
1.51018063228e+12,1.51018069228e+12,2.30641,0.116946799,2.1653,2.5525,2.25375,2.2438,1.178550291,-0.140611949,2.3958,2.26408,2.2441,2.22832,2.309372998,0.098775,0.308333333,0.691666667,0.3872,0.013791483,17,NA
1.51018060228e+12,1.51018066228e+12,2.339151667,0.106472077,2.2247,2.5525,2.3087,2.2465,0.911985497,-0.601988244,2.469,2.3169,2.2942,2.24396,2.341573578,0.13255,0.325,0.675,0.3278,0.011431566,17,NA
1.51018057228e+12,1.51018063228e+12,2.278393333,0.047978882,2.2307,2.4661,2.25765,2.2465,2.00779301,4.21875414,2.3087,2.26498,2.25322,2.24514,2.278898452,0.059325,0.341666667,0.658333333,0.2354,0.002321317,17,Arithmetic
1.51018054228e+12,1.51018060228e+12,2.283954167,0.032918852,2.2377,2.3572,2.27085,2.2501,0.634323386,-0.800164644,2.3097,2.29012,2.26466,2.25418,2.284191386,0.050975,0.425,0.575,0.1195,0.001092757,17,Arithmetic
1.51018051228e+12,1.51018057228e+12,2.318714167,0.024717326,2.2609,2.3572,2.321,2.3317,-0.580272089,-0.407013965,2.3416,2.3282,2.31166,2.30338,2.318845905,0.0333,0.541666667,0.458333333,0.0963,0.00061608,17,Arithmetic
1.51018048228e+12,1.51018054228e+12,2.374946667,0.055266441,2.3025,2.5077,2.356,2.3062,0.695013395,-0.607388825,2.4293,2.38,2.3435,2.32368,2.375589621,0.094725,0.416666667,0.583333333,0.2052,0.003080047,17,Arithmetic
