,Participant,activity,window_num,mean_ecg,median_ecg,variance_ecg,quartiled_ecg,range_ecg,max_ecg,min_ecg,80perc_ecg,20perc_ecg,HF_ecg,LF_ecg,LF/HF_ecg,RMSSD_ecg,SDSD_ecg,pNN20_ecg,pNN50_ecg,mean_GSR,sd_GSR,min_GSR,max_GSR,meidan_GSR,skew_GSR,Kurtosis_GSR,08per_GSR,20perc_GSR,mean_polar,sd_polar,min_polar,max_polar,meidan_polar,skew_polar,Kurtosis_polar,08per_polar,20perc_polar,combined
1195,20,Eating 3,7,0.712955996,0.784313725,0.348019039,0.333333333,0.85,0.625,0.580645161,0.526570048,0.782142857,0.16866869,0.393556583,0.469603822,0.109998753,0.025480746,0.520485923,0.0,0.721266108,0.120410647,0.728536304,0.697439778,0.719413644,0.630364428,0.37580952,0.723208751,0.719395633,0.562021419,0.026118313,0.65,0.388888889,0.590909091,0.281379129,0.156631965,0.451612903,0.65,20Eating 3
1196,20,Game 4,1,0.805382323,0.941176471,0.55172059,0.266666667,1.0,0.583333333,0.451612903,0.637681159,0.785714286,0.630525462,0.257580357,0.161271708,0.622055138,0.439118644,0.831630712,0.501333333,0.462212164,0.483114316,0.331125496,0.598225922,0.438310468,0.510474737,0.154007097,0.547839562,0.365045233,0.234521825,0.169403784,0.1,0.222222222,0.227272727,0.19450044,0.396805572,0.193548387,0.25,20Game 4
1197,20,Game 4,2,0.864278753,0.941176471,0.2586738,0.4,0.5,0.583333333,0.774193548,0.671497585,0.857142857,0.868221211,0.120387346,0.031834037,0.985382592,0.934135638,0.924403912,0.742105263,0.474801494,0.436076683,0.331125496,0.519359314,0.530163503,0.175888904,0.198012303,0.526991796,0.350504429,0.296321978,0.100923948,0.3,0.222222222,0.318181818,0.272025511,0.100461711,0.258064516,0.3,20Game 4
1198,20,Game 4,3,0.876580418,0.941176471,0.281185212,0.4,0.5,0.583333333,0.774193548,0.671497585,0.889285714,0.714116015,0.266917784,0.141796739,0.754624353,0.606073749,0.739350987,0.494736842,0.527030494,0.078212649,0.550102865,0.519359314,0.5272975,0.755999293,0.528163174,0.52301732,0.525893999,0.368103617,0.0105304,0.45,0.25,0.363636364,0.450487322,0.2090921,0.290322581,0.45,20Game 4
1199,20,Game 4,4,0.938515477,0.980392157,0.374763744,0.266666667,0.7,1.0,0.967741935,0.685990338,0.917857143,0.278655471,0.213405906,0.269202687,0.587902368,0.530233057,0.719118534,0.626666667,0.467252773,0.136786142,0.450649807,0.461344432,0.482099229,0.366407303,0.20906918,0.474630811,0.44621797,0.351920295,0.089259162,0.35,0.25,0.363636364,0.138800376,0.250332727,0.290322581,0.4,20Game 4
1200,20,Game 4,5,0.855802965,0.941176471,0.458446164,0.2,1.0,1.0,0.774193548,0.526570048,0.892857143,0.31358277,0.646490136,0.553756166,0.359389153,0.201446124,0.494094178,0.501333333,0.441010526,0.077232831,0.450649807,0.437255644,0.439790453,0.673742081,0.458320555,0.437584321,0.441528916,0.308929306,0.083431881,0.35,0.222222222,0.318181818,0.285497749,0.060232446,0.258064516,0.3,20Game 4
1201,20,Game 4,6,0.760832931,0.862745098,0.0,0.066666667,0.0,0.333333333,0.903225806,0.381642512,0.821428571,0.187974187,0.093963186,0.224468685,0.183003462,0.129300186,0.258213383,0.123684211,0.431270547,0.106814946,0.438908124,0.437255644,0.424426799,0.641255802,0.365927535,0.436144029,0.421124426,0.3075425,0.17859869,0.3,0.277777778,0.318181818,0.518332254,0.148877048,0.264516129,0.3,20Game 4
1202,20,Game 4,7,0.90852747,0.980392157,0.298692131,0.316666667,0.45,0.625,0.838709677,0.719806763,0.964285714,0.066255049,0.47588726,0.621773292,0.162861158,0.036810952,0.698339258,0.0,0.39589583,0.091402704,0.380149531,0.396392988,0.397481676,0.488867855,0.526473793,0.391458523,0.393624781,0.33250501,0.174005536,0.3,0.277777778,0.363636364,0.322713447,0.117894356,0.290322581,0.34,20Game 4
1203,20,Ice Bucket 6,1,0.805382323,0.941176471,0.55172059,0.266666667,1.0,0.583333333,0.451612903,0.637681159,0.785714286,0.630525462,0.257580357,0.161271708,0.622055138,0.439118644,0.831630712,0.501333333,0.436290042,0.747483495,0.257062572,0.681506705,0.373238113,0.630979239,0.202614858,0.588277119,0.290067731,0.266525043,0.382456931,0.25,0.444444444,0.227272727,0.97321971,0.761818097,0.251612903,0.25,20Ice Bucket 6
1204,20,Ice Bucket 6,2,0.866092266,0.941176471,0.262043257,0.4,0.5,0.583333333,0.774193548,0.671497585,0.867857143,0.783745572,0.299936003,0.139764158,0.954957367,0.950709802,0.869648526,0.77260274,0.430578045,0.619444195,0.257062572,0.582418968,0.460768653,0.370842666,0.173754436,0.535132179,0.272846114,0.211424372,0.080617991,0.25,0.25,0.181818182,0.889414809,1.0,0.161290323,0.25,20Ice Bucket 6
