Start,End,mean,standard deviation,min,max,median,mode,skew,Kurtosis,80_percentile,60_percentile,40_percentile,20_percentile,RMS,IQR,count>mean,count<mean,range,COV_M,pNN50,pNN20,RMSSD,nn50,nn20,SDSD,zcross,Lf,MF,HF,Lf/HF,Count,Participant,Activity
1.50E+12,1.50E+12,708.952381,34.75694681,629,818,709,709,0.236073455,0.720863562,733,717,701,683.4,709.8038629,44,0.535714286,0.464285714,189,1222.600115,0.035714286,0.273809524,20.95548926,3,23,12.9413519,14,70.20238095,79.4047619,67.61904762,1.038204225,0.992533333,2,NA
1.50E+12,1.50E+12,732.5925926,24.94674712,681,818,729,709,0.62109133,0.681897959,753,733,725,709,733.0172214,32,0.469135802,0.530864198,137,630.1194444,0.037037037,0.320987654,21.78244706,3,26,12.69586547,25,73.69135802,70.66666667,72.40740741,1.01773231,0.989,2,Game
1.50E+12,1.50E+12,729.382716,44.12148434,601,841,737,741,-0.632107786,1.043686496,754,745,729,705,730.7159858,44,0.567901235,0.432098765,240,1971.039198,0.049382716,0.407407407,26.71656789,4,33,17.39825782,19,70.87654321,77.69135802,74.87654321,0.94657873,0.984666667,2,Game
1.50E+12,1.50E+12,708.6626506,51.30731344,601,841,713,745,-0.064549032,-0.131351413,747.4,721,697,670.6,710.5175528,64,0.518072289,0.481927711,240,2664.543344,0.072289157,0.373493976,27.50875692,6,31,17.59442952,13,69.63855422,71.09638554,74.08433735,0.939990242,0.980316667,2,Game
1.50E+12,1.50E+12,706.2682927,34.09886944,609,777,707,713,-0.524669911,0.911413783,729,713,701,685.8,707.090966,34,0.5,0.5,168,1177.087624,0.06097561,0.292682927,22.04994331,5,24,14.19275784,14,69.18292683,70.63414634,70.64634146,0.979285344,0.965233333,2,Game
1.50E+12,1.50E+12,720.3209877,26.6610305,669,809,717,705,0.68198839,0.36799298,741,721,709,697,720.8142173,40,0.444444444,0.555555556,140,719.695679,0.049382716,0.333333333,23.49521228,4,27,15.53654965,21,72.25925926,71.45679012,70.48148148,1.025223332,0.972433333,2,Game
1.50E+12,1.50E+12,735.0632911,26.81551684,685,809,733,741,0.551596259,-0.188653415,755.2,741,725,709,735.552251,38.5,0.46835443,0.53164557,124,728.2908147,0.037974684,0.367088608,24.15695431,3,29,15.41736223,24,74.37974684,74.5443038,75.30379747,0.98772903,0.967833333,2,Game
1.50E+12,1.50E+12,758.7820513,35.88216021,697,881,753,737,0.647735405,0.478342277,789,769.2,744.2,726.6,759.629996,55,0.448717949,0.551282051,184,1304.250583,0.08974359,0.487179487,28.87793388,7,38,17.96400141,17,79.03846154,76.88461538,81.51282051,0.969644542,0.986416667,2,Game
1.50E+12,1.50E+12,749.5189873,43.02188456,669,881,745,705,0.385085831,-0.119953841,789,760.2,737,707.4,750.7526856,70,0.443037975,0.556962025,212,1874.611814,0.075949367,0.493670886,30.02605706,6,39,17.15762099,13,73.02531646,70.58227848,73.37974684,0.995169915,0.986866667,2,Game
1.50E+12,1.50E+12,694.2705882,40.99652445,617,793,693,705,0.312623864,-0.388569796,730.6,703.2,681,657,695.4799528,52,0.494117647,0.505882353,176,1700.723529,0.011764706,0.282352941,20.7857552,1,24,12.67212557,17,62.77647059,73.42352941,60.37647059,1.039750585,0.98355,2,NA
1.50E+12,1.50E+12,657.4831461,26.97610776,581,717,657,653,-0.186813624,-0.150802918,681,665,653,635.4,658.0363195,36,0.471910112,0.528089888,136,735.9798264,0.011235955,0.168539326,68.62538293,1,15,66.04962193,12,66.84269663,64.28089888,63.95505618,1.045151089,0.975266667,2,NA
1.50E+12,1.50E+12,660.3529412,34.04796129,581,753,657,653,0.508843982,0.392494282,681,661,653,633,661.2301192,44,0.435294118,0.564705882,172,1173.064426,0.023529412,0.188235294,103.3135176,2,16,99.21674217,11,64.76470588,66.72941176,61.97647059,1.04498861,0.9355,2,Rest5
1.50E+12,1.50E+12,676,33.86563084,609,753,675,645,0.177573526,-0.627578644,707.2,681,661.8,645,676.8477532,48,0.5,0.5,144,1160.698795,0.035714286,0.226190476,77.78745971,3,19,74.06420305,15,63.10714286,72.05952381,65.47619048,0.963818182,0.9464,2,Rest5
1.50E+12,1.50E+12,650.6593407,39.627169,581,733,649,653,0.090304487,-0.72265072,685,657,637,621,651.8649324,56,0.494505495,0.505494505,152,1587.76044,0.010989011,0.21978022,18.91765783,1,20,11.98930079,9,65.1978022,62.86813187,62.50549451,1.043073136,0.986833333,2,Rest5
1.50E+12,1.50E+12,638.2823529,40.95237169,581,749,633,621,0.871253973,0.223970574,661,638.6,625,604.2,639.5947614,44,0.4,0.6,168,1697.062185,0.023529412,0.2,19.48060512,2,17,13.16217501,15,65.09411765,68.75294118,59.29411765,1.09781746,0.904233333,2,Rest5
1.50E+12,1.50E+12,608.109589,68.52488032,380,758,605,605,-0.039402491,0.596492877,659.4,617,593,548.4,611.958276,88,0.479452055,0.520547945,378,4760.876712,0.04109589,0.232876712,23.70622902,3,17,17.55940855,6,50.65753425,50.69863014,69.43835616,0.729532452,0.739866667,2,Rest5
1.50E+12,1.50E+12,616.816092,57.58742055,500,758,629,637,-0.194168117,-0.623923854,661,643.4,609,552.2,619.4985087,80.5,0.551724138,0.448275862,258,3354.872761,0.057471264,0.195402299,59.41593231,5,17,55.75188175,12,69.48275862,62.8045977,59.63218391,1.165188897,0.894383333,2,Rest5
1.50E+12,1.50E+12,653.3863636,38.74052137,500,750,657,661,-0.487884413,2.123568102,679.4,661,649,634.6,654.5338556,33.75,0.511363636,0.488636364,250,1518.078892,0.045454545,0.284090909,58.21521703,4,25,53.79424795,16,67.19318182,70.25,64.51136364,1.041571252,0.9583,2,NA
1.50E+12,1.50E+12,650.8314607,49.39868441,565,781,657,593,0.207260882,-0.715937206,689,664.2,637,594.8,652.7034704,85,0.550561798,0.449438202,216,2467.959908,0.02247191,0.292134831,21.210765,2,26,13.72405129,7,69.68539326,64.37078652,60.5505618,1.150862869,0.9654,2,NA
1.50E+12,1.50E+12,654.4555556,50.00203576,561,781,657,589,-0.021868133,-0.94000371,698.6,678.6,639.4,596.8,656.3629162,87,0.522222222,0.477777778,220,2528.295755,0.044444444,0.3,23.00219823,4,27,15.72621936,9,67.53333333,62.35555556,68.11111111,0.991517129,0.981683333,2,Sing
1.50E+12,1.50E+12,666.2247191,47.22067553,561,769,665,665,0.052755385,-0.678776549,709,677,653,623.4,667.8960762,65,0.494382022,0.505617978,208,2255.130746,0.02247191,0.325842697,23.3787977,2,29,15.08173325,10,66.62921348,61.84269663,73.38202247,0.907977339,0.988233333,2,Sing
1.50E+12,1.50E+12,676.3977273,44.48711248,589,785,673,657,0.342586193,-0.128671613,709,681.2,665,642.6,677.8591215,44,0.477272727,0.522727273,196,2001.851489,0.022727273,0.215909091,19.8248074,2,19,13.24934905,12,75.53409091,69.78409091,68.52272727,1.102321725,0.99205,2,Sing
1.50E+12,1.50E+12,693.1860465,35.18407133,629,805,689,689,1.234501307,1.747608772,709,693,681,661,694.0783918,38.25,0.395348837,0.604651163,176,1252.482627,0.034883721,0.186046512,18.05351522,3,16,12.84863166,15,73.13953488,64.10465116,71.88372093,1.017470074,0.993566667,2,Sing
1.50E+12,1.50E+12,701.8095238,63.18462671,577,861,697,709,0.532383519,0.07309255,738.6,705,685,653,704.6480716,62,0.428571429,0.571428571,284,4040.397017,0.083333333,0.392857143,30.13543725,7,33,20.74813537,15,62.52380952,75.21428571,63.23809524,0.988704819,0.982533333,2,Sing
1.50E+12,1.50E+12,693.5060241,64.13471768,577,861,689,697,0.636695155,0.136502419,729.8,698.6,673,638.6,696.4652665,70,0.469879518,0.530120482,284,4163.423744,0.084337349,0.421686747,31.28759467,7,35,19.80397765,17,66.71084337,70.6626506,71.77108434,0.929494712,0.95935,2,Sing
1.50E+12,1.50E+12,667.2159091,48.43985232,552,773,661.5,625,-0.015308167,-0.357151539,715.4,673.8,653,626.6,668.971964,68,0.454545455,0.545454545,221,2373.389629,0.034090909,0.306818182,23.97172664,3,27,16.5348653,12,65.19318182,62.46590909,68.92045455,0.945919209,0.978583333,2,Sing
1.50E+12,1.50E+12,653.2747253,39.36698732,552,758,657,661,0.132826856,0.971810735,677,661,649,625,654.4597974,42,0.516483516,0.483516484,206,1566.979243,0.021978022,0.175824176,20.47166063,2,16,15.64764803,9,67.04395604,64.75824176,61.76923077,1.085394058,0.9908,2,Sing
1.50E+12,1.50E+12,658.2666667,26.58353709,597,705,661,661,-0.623339679,-0.314819894,685,669,657,637,658.8032247,39.25,0.577777778,0.422222222,108,714.6247191,0.011111111,0.144444444,14.75644974,1,13,9.432314911,9,67.75555556,65.96666667,63.74444444,1.062924874,0.9874,2,NA
1.50E+12,1.50E+12,639.5494505,32.6800217,569,705,637,625,0.013490728,-0.712014017,669,645,629,609,640.3838564,42,0.494505495,0.505494505,136,1079.850305,0.021978022,0.307692308,20.26232459,2,28,12.34503744,20,62.16483516,59.64835165,63.61538462,0.977198134,0.969983333,2,Rest4
1.50E+12,1.50E+12,626.8681319,35.15341848,444,701,625,605,-1.160527168,6.450961201,653,629,617,605,627.8530223,40,0.472527473,0.527472527,257,1249.493529,0.010989011,0.252747253,19.314973,1,23,11.96955073,16,62.25274725,67.17582418,58.72527473,1.060067365,0.95075,2,Rest4
1.50E+12,1.50E+12,656.6629213,49.8381524,444,757,649,673,-0.421651593,2.201455885,698.6,673,637,613,658.5514663,72,0.494382022,0.505617978,313,2512.066905,0,0.202247191,16.51778464,0,18,10.07025081,7,69.64044944,71.25842697,70,0.994863563,0.97405,2,Rest4
1.50E+12,1.50E+12,644.8690476,62.71169477,420,770,637,605,-0.60840966,2.057663712,702.6,648.4,625.6,605,647.9111399,81,0.428571429,0.571428571,350,3980.139271,0.011904762,0.214285714,64.90002173,1,18,61.56874922,10,55.44047619,63.22619048,59.04761905,0.93891129,0.902816667,2,Rest4
